time,Pan Position,Tilt Position,Pan Velocity,Tilt Velocity
7.140377759,-20.10223389,-7.684249878,-0.016199999,-0.0024
7.160203125,-20.10223389,-7.684936523,-0.0084,-0.0012
7.180576653,-20.10223389,-7.684249878,-0.013799999,-0.0006
7.200306631,-20.10360718,-7.684249878,-0.0072,-0.0006
7.220342415,-20.10498047,-7.684249878,-0.0042,0.0
7.240952242,-20.10360718,-7.684249878,-0.011999999,
7.259811246,,-7.684249878,,0.0
7.280548368,-20.10360718,-7.684936523,-0.0036,0.0
7.300897749,-20.10360718,-7.684249878,,0.0
7.327191326,,-7.683563232,-0.0042,0.0
7.340288689,-20.10498047,-7.684249878,-0.003,0.0
7.360479474,-20.10429382,-7.684936523,-0.0018,0.0
7.380328883,-20.10498047,-7.684936523,-0.0006,0.0
7.400621776,-20.10429382,-7.684936523,-0.0006,0.0
7.420533624,-20.10498047,0.0,0.0,0.0
,,-7.684936523,-0.011399999,0.0
7.461071712,-20.10498047,-7.684936523,-0.006,0.0
7.484961053,-20.10566711,-7.684936523,-0.0156,
,-20.10498047,-7.684249878,-0.010199999,0.0
7.520831289,,-7.684249878,-0.0054,0.0
7.540103977,-20.10498047,-7.685623169,0.0,0.0
7.560389319,-20.10635376,-7.684249878,0.0,0.0
7.581262922,-20.10498047,-7.684249878,-0.0006,0.0
7.600358318,-20.10635376,-7.684936523,-0.0006,0.0
7.620382041,-20.10635376,-7.684249878,0.0,0.0
7.640889705,-20.10566711,-7.685623169,0.0,0.0
7.66083538,-20.10498047,-7.685623169,,0.0
7.680964678,,-7.684936523,-0.010799999,
7.700480026,-20.10566711,-7.683563232,-0.0054,0.0
,-20.10635376,-7.685623169,,0.0
,-20.10566711,-7.684936523,,0.0
7.760268482,-20.10498047,,-0.0006,0.0
7.780276659,-20.10635376,-7.684936523,-0.0006,0.0
7.806554672,-20.10772705,-7.684249878,-0.013799999,0.0
7.820136156,-20.10635376,-7.684249878,-0.0096,0.0
7.84071962,,0.0,-0.0048,0.0
7.860556626,-20.10772705,-7.684936523,-0.0024,0.0
7.8813907,-20.10772705,-7.683563232,-0.0012,0.0
7.90083401,-20.10772705,-7.684936523,-0.0006,0.0
7.920539461,-20.10704041,-7.684936523,0.0,0.0
,-20.10704041,-7.684936523,-0.0084,0.0
7.961004722,-20.10772705,-7.684249878,-0.0042,0.0
,-20.10772705,-7.684936523,-0.0012,
8.000369361,-20.10635376,-7.684936523,,0.0
8.02055673,,,-0.0048,0.0
,0.0,-7.684936523,-0.0024,0.0
8.06045374,-20.10635376,-7.684249878,-0.0012,0.0
,-20.10635376,,-0.0006,0.0
8.100147124,-20.10704041,-7.684936523,-0.0006,0.0
,-20.10704041,-7.685623169,-0.011999999,0.0
8.14187909,-20.10704041,-7.684936523,-0.006,0.0
8.160744699,-20.10910034,-7.683563232,-0.0036,0.0
8.180406506,-20.10910034,-7.684936523,-0.0018,0.0
8.207035799,-20.10910034,-7.684249878,-0.0012,0.0
8.220426464,-20.1084137,,-0.0006,0.0
8.240395211,-20.10704041,-7.684249878,-0.0096,
8.260338045,-20.1084137,-7.684249878,-0.0054,0.0
8.281556293,-20.1084137,-7.684936523,-0.003,0.0
8.3005019,-20.10910034,-7.684936523,-0.0012,
8.320285956,-20.1084137,-7.684249878,-0.011399999,0.0
8.340362482,-20.1084137,-7.685623169,0.0,0.0
8.36084834,-20.11047363,0.0,0.0,0.0
8.38040211,-20.1084137,-7.682876587,-0.0054,0.0
8.400295302,-20.11047363,-7.684249878,-0.003,
8.420846311,-20.11047363,-7.685623169,,0.0
8.440752662,-20.10978699,,-0.0072,0.0
8.460169385,-20.10910034,,,0.0
8.480376477,-20.10978699,-7.684249878,-0.0018,0.0
8.500063857,,-7.684936523,,0.0
8.520572238,-20.11116028,-7.685623169,-0.0084,0.0
8.540063745,-20.11047363,-7.685623169,-0.0048,0.0
8.560660926,-20.10978699,,-0.0024,0.0
8.581389494,-20.11047363,-7.684249878,-0.012599999,0.0
8.601957594,-20.11116028,-7.684936523,-0.006599999,0.0
8.620547281,-20.11047363,,-0.0036,0.0
8.640710254,-20.11116028,-7.685623169,-0.0012,0.0
8.660549503,-20.11047363,,0.0,0.0
,-20.10978699,-7.683563232,-0.0048,0.0
8.700948618,-20.10978699,-7.684936523,-0.0024,0.0
8.720310437,-20.11116028,-7.685623169,-0.0006,0.0
8.739828636,,-7.683563232,,0.0
8.760731145,-20.11047363,-7.684249878,-0.0048,0.0
8.780062355,-20.11116028,-7.684936523,-0.0024,0.0
8.800229505,0.0,-7.684936523,-0.0012,0.0
,-20.11253357,-7.684249878,-0.0006,
,-20.11116028,-7.685623169,-0.013799999,0.0
8.860107164,-20.11116028,-7.684936523,-0.0096,0.0
8.880751188,-20.11116028,-7.684249878,-0.0048,0.0
8.901138451,-20.11047363,-7.684249878,-0.0024,0.0
8.920226179,-20.11253357,-7.684249878,-0.0012,
8.940363343,-20.11047363,-7.68699646,-0.0006,0.0
8.960434835,-20.11047363,-7.684936523,-0.0006,
8.980101347,-20.11184692,-7.684936523,,0.0
,-20.11047363,-7.685623169,0.0,0.0
9.020669331,-20.11184692,-7.684249878,-0.012599999,0.0
9.040466234,,-7.684249878,0.0054,0.0
9.060579417,-20.11184692,-7.684936523,-0.0048,
9.081494698,-20.11253357,-7.685623169,-0.0024,0.0
,-20.11184692,-7.684249878,0.0006,0.0
9.120699248,-20.11253357,-7.684936523,-0.009,0.0
9.141045504,-20.11184692,-7.684936523,-0.0048,0.0
9.161349563,-20.11253357,-7.68699646,-0.0024,0.0
9.180343257,-20.11253357,-7.684936523,-0.0012,
9.200182672,-20.11116028,-7.685623169,-0.0006,0.0
9.220197041,,-7.684936523,0.0,0.0
9.240035684,-20.11184692,-7.684249878,-0.010799999,0.0
9.260468577,0.0,-7.684936523,-0.006,
9.280627302,-20.11184692,-7.683563232,-0.003,0.0
9.301263341,-20.11322021,0.0,-0.0018,0.0
9.322044347,-20.11322021,-7.683563232,-0.0006,0.0
9.340412121,-20.11116028,-7.684936523,-0.0006,0.0
9.361051219,-20.11184692,-7.684936523,0.0,0.0
,,-7.684936523,0.0,0.0
9.40091679,,-7.684936523,0.0018,0.0
9.421422452,,-7.684249878,-0.0084,0.0
,-20.11253357,-7.684936523,-0.0042,
9.46079152,-20.11184692,-7.684249878,-0.0024,0.0
9.480409595,-20.11322021,-7.685623169,-0.0012,0.0
,,-7.684936523,-0.0006,
9.520866994,-20.11184692,-7.685623169,0.0,0.0
9.540097776,-20.11184692,-7.685623169,-0.013799999,0.0
9.5656829,-20.11253357,-7.683563232,,0.0
9.581294522,-20.11184692,-7.684936523,0.0012,0.0
9.600459497,0.0,-7.684936523,0.0018,0.0
9.62031409,-20.11184692,-7.684936523,-0.010199999,0.0
,-20.11322021,-7.684249878,-0.0078,0.0
9.680461052,-20.11322021,-7.685623169,-0.0018,0.0
9.700729172,-20.11459351,-7.684936523,-0.011999999,0.0
9.720404128,-20.11322021,-7.685623169,0.0042,0.0
,,-7.683563232,0.0072,0.0
9.761119326,-20.11253357,-7.684936523,-0.0048,
9.780379011,-20.11322021,-7.684936523,-0.0036,
9.800868835,-20.11116028,-7.684936523,-0.003,0.0
9.820975802,-20.11390686,-7.684249878,-0.0018,0.0
,-20.11253357,-7.684936523,,0.0
9.860058635,-20.11322021,-7.684249878,-0.0006,0.0
9.880451684,-20.11322021,-7.684936523,,0.0
9.900326843,,-7.686309814,0.0,0.0
9.92363396,-20.11322021,-7.685623169,0.0,0.0
9.941040451,-20.11390686,-7.683563232,0.0,0.0
9.965188102,-20.11390686,-7.685623169,0.0,0.0
9.980744392,-20.11253357,-7.684936523,0.0,0.0
10.00442426,-20.11184692,-7.685623169,0.0006,0.0
10.02037504,-20.11322021,-7.684249878,0.0,0.0
10.04095297,-20.11322021,-7.684249878,0.0006,0.0
10.06007802,-20.11322021,-7.684936523,0.0018,0.0
10.08027664,-20.11184692,-7.684249878,-0.009,0.0
10.10005076,-20.11390686,-7.684936523,-0.0054,0.0
,-20.11253357,-7.684936523,-0.003,0.0
10.1415417,-20.11253357,,,0.0
10.16102977,-20.11322021,-7.684249878,-0.0006,0.0
10.18061284,-20.11322021,-7.684936523,-0.0006,0.0
10.20480439,-20.11253357,-7.685623169,0.0,0.0
10.22027536,-20.11253357,-7.684936523,0.0,0.0
10.24020121,-20.11184692,-7.684936523,0.0,0.0
10.26087264,-20.11322021,-7.685623169,0.0,0.0
10.28053676,-20.11322021,-7.684936523,0.0,0.0
10.30046283,-20.11253357,-7.684936523,0.0,0.0
10.32057899,-20.11322021,-7.685623169,0.0,
10.34056655,-20.11322021,-7.684249878,0.0,0.0
10.36093008,-20.11528015,-7.685623169,0.0,0.0
10.38039671,-20.11253357,,0.0,0.0
10.40044807,-20.11322021,,0.0,0.0
10.42170756,-20.11253357,-7.684936523,0.0,0.0
,-20.11253357,-7.682876587,0.0,0.0
10.45996699,-20.11184692,-7.686309814,0.0,0.0
10.48091292,-20.11322021,-7.684249878,0.0,0.0
10.50041977,-20.11253357,-7.684936523,0.0,0.0
10.52079344,-20.11322021,-7.683563232,0.0,0.0
10.54017453,-20.11253357,-7.685623169,,0.0
10.56037843,-20.11253357,-7.685623169,,0.0
10.58059939,-20.11528015,-7.685623169,,0.0
10.60055932,-20.11184692,-7.684936523,-0.003,0.0
10.62056128,-20.11322021,-7.684249878,-0.0018,0.0
10.64116404,-20.11390686,-7.684936523,-0.0006,
10.66045292,-20.11253357,-7.684936523,-0.0006,0.0
10.68534915,-20.11390686,-7.684249878,0.0,
10.70069312,-20.11322021,-7.685623169,0.0,0.0
10.7201203,0.0,-7.684936523,0.0,0.0
10.74014893,-20.11322021,-7.684936523,0.0,0.0
,-20.11390686,-7.685623169,0.0,0.0
10.78044434,-20.11390686,-7.686309814,0.010199999,0.0
10.80034311,-20.11459351,-7.684936523,0.0144,0.0
10.82009429,-20.11322021,-7.684936523,0.035999998,0.0
10.84006819,-20.10910034,-7.684936523,0.112199992,0.0
10.86597634,-20.09811401,-7.684936523,0.307799995,0.0
10.88050934,-20.08712769,-7.684249878,0.493199974,
10.90047242,-20.06584167,-7.685623169,0.797399938,0.0
10.92535644,-20.02189636,-7.684936523,1.314599991,0.0
10.94033328,-19.99237061,-7.684249878,1.611599922,0.0
10.96257982,-19.94087219,-7.686309814,1.9799999,0.0
10.98096247,-19.8941803,,2.35619998,0.024599999
11.00022264,-19.82894897,-7.679443359,,0.144599989
11.02011747,-19.75891113,-7.671203613,3.036599874,0.312599987
11.04054336,,-7.655410767,3.492599726,0.532199979
11.06010728,-19.59617615,-7.634811401,3.880199909,0.754799962
11.08055452,-19.50279236,,4.17179966,0.863999963
11.10064679,-19.4052887,-7.59223938,4.566599846,1.018199921
11.12089466,-19.29885864,-7.564086914,4.90199995,
11.14082415,-19.18212891,-7.534561157,5.273999691,1.349999905
11.16123403,-19.06059265,-7.502288818,5.702399731,1.542599916
11.18051883,-18.93218994,-7.465209961,5.950199604,1.63139987
11.20017494,-18.800354,-7.43019104,6.26279974,1.729799867
11.22012955,-18.66577148,-7.392425537,6.607199669,1.781399965
11.24170325,-18.52500916,-7.357406616,6.857399464,1.864799857
11.26069385,-18.37738037,-7.314834595,7.190399647,1.95239985
11.28092679,-18.22563171,-7.278442383,7.541999817,2.009399891
